Method,Task_Type,Accuracy,Brier_Score,Local_Calibration_Error,Variance,Ambiguity,Max_Disagreement,Disagreement,Dataset,Seed
Initial_Voting,classification,0.989474,0.009641,0.475215,0.017230,0.312187,0.295224,0.408329,Compas_Data,0
Rocile,classification,0.989474,0.012232,0.081503,0.000000,0.000013,0.000009,0.000000,Compas_Data,0
AdaRocile_BiasCorrected,classification,0.987854,0.008185,0.023447,0.000000,0.000002,0.000001,0.000000,Compas_Data,0
Initial_Voting,classification,0.995951,0.007309,0.466421,0.017023,0.312481,0.295332,0.386929,Compas_Data,1
Rocile,classification,0.995951,0.009746,0.076957,0.000000,0.000010,0.000005,0.000000,Compas_Data,1
AdaRocile_BiasCorrected,classification,0.995142,0.005349,0.019403,0.000000,0.000002,0.000001,0.000000,Compas_Data,1
Initial_Voting,classification,0.997571,0.008366,0.464815,0.017378,0.316695,0.299544,0.382186,Compas_Data,2
Rocile,classification,0.997571,0.011087,0.081636,0.000000,0.000017,0.000010,0.000000,Compas_Data,2
AdaRocile_BiasCorrected,classification,0.993522,0.006615,0.021452,0.000000,0.000003,0.000001,0.000000,Compas_Data,2
Initial_Voting,classification,0.992713,0.008593,0.506935,0.016160,0.309102,0.296356,0.377097,Compas_Data,3
Rocile,classification,0.992713,0.010934,0.076701,0.000000,0.000011,0.000006,0.000000,Compas_Data,3
AdaRocile_BiasCorrected,classification,0.992713,0.006592,0.018907,0.000000,0.000002,0.000001,0.000000,Compas_Data,3
Initial_Voting,classification,0.990283,0.009938,0.511306,0.014299,0.277472,0.258686,0.278543,Compas_Data,4
Rocile,classification,0.990283,0.011702,0.072001,0.000000,0.000012,0.000006,0.000000,Compas_Data,4
AdaRocile_BiasCorrected,classification,0.987854,0.009380,0.024587,0.000000,0.000003,0.000001,0.000000,Compas_Data,4
